sector,product,scene,date,type,filename,full_path
Glaciar Grey,planet_scope,REQ_6796,20211112,mss,composite_red.tif,s3://easido-prod-dc-data-projects/saf/planet_scope/glaciar/20211112/REQ_6796/composite_red.tif
Glaciar Grey,planet_scope,REQ_6796,20211112,qa,composite_udm2_qb-haze_heavy.tif,s3://easido-prod-dc-data-projects/saf/planet_scope/glaciar/20211112/REQ_6796/composite_udm2_qb-haze_heavy.tif
Glaciar Grey,planet_scope,REQ_6796,20211112,qa,composite_udm2_qb-udm1.tif,s3://easido-prod-dc-data-projects/saf/planet_scope/glaciar/20211112/REQ_6796/composite_udm2_qb-udm1.tif
Glaciar Grey,planet_scope,REQ_6796,20211112,qa,composite_udm2_qb-cloud.tif,s3://easido-prod-dc-data-projects/saf/planet_scope/glaciar/20211112/REQ_6796/composite_udm2_qb-cloud.tif
Glaciar Grey,planet_scope,REQ_6796,20211112,qa,composite_udm2_qb-snow.tif,s3://easido-prod-dc-data-projects/saf/planet_scope/glaciar/20211112/REQ_6796/composite_udm2_qb-snow.tif
Glaciar Grey,planet_scope,REQ_6796,20211112,qa,composite_udm2_qb-clear.tif,s3://easido-prod-dc-data-projects/saf/planet_scope/glaciar/20211112/REQ_6796/composite_udm2_qb-clear.tif
Glaciar Grey,planet_scope,REQ_6796,20211112,qa,composite_udm2_qb-haze_light.tif,s3://easido-prod-dc-data-projects/saf/planet_scope/glaciar/20211112/REQ_6796/composite_udm2_qb-haze_light.tif
Glaciar Grey,planet_scope,REQ_6796,20211112,mss,composite_green1.tif,s3://easido-prod-dc-data-projects/saf/planet_scope/glaciar/20211112/REQ_6796/composite_green1.tif
Glaciar Grey,planet_scope,REQ_6796,20211112,mss,composite_redegde.tif,s3://easido-prod-dc-data-projects/saf/planet_scope/glaciar/20211112/REQ_6796/composite_redegde.tif
Glaciar Grey,planet_scope,REQ_6796,20211112,mss,composite_blue.tif,s3://easido-prod-dc-data-projects/saf/planet_scope/glaciar/20211112/REQ_6796/composite_blue.tif
Glaciar Grey,planet_scope,REQ_6796,20211112,mss,composite_yellow.tif,s3://easido-prod-dc-data-projects/saf/planet_scope/glaciar/20211112/REQ_6796/composite_yellow.tif
Glaciar Grey,planet_scope,REQ_6795,20221127,qa,composite_udm2_qb-shadow.tif,s3://easido-prod-dc-data-projects/saf/planet_scope/glaciar/20221127/REQ_6795/composite_udm2_qb-shadow.tif
Glaciar Grey,planet_scope,REQ_6795,20221127,qa,composite_udm2_qb-confidence.tif,s3://easido-prod-dc-data-projects/saf/planet_scope/glaciar/20221127/REQ_6795/composite_udm2_qb-confidence.tif
Glaciar Grey,planet_scope,REQ_6795,20221127,mss,composite_green.tif,s3://easido-prod-dc-data-projects/saf/planet_scope/glaciar/20221127/REQ_6795/composite_green.tif
Glaciar Grey,planet_scope,REQ_6795,20221127,mss,composite_nir.tif,s3://easido-prod-dc-data-projects/saf/planet_scope/glaciar/20221127/REQ_6795/composite_nir.tif
Glaciar Grey,planet_scope,REQ_6795,20221127,mss,composite_coastal.tif,s3://easido-prod-dc-data-projects/saf/planet_scope/glaciar/20221127/REQ_6795/composite_coastal.tif
Glaciar Grey,planet_scope,REQ_6795,20221127,mss,composite_red.tif,s3://easido-prod-dc-data-projects/saf/planet_scope/glaciar/20221127/REQ_6795/composite_red.tif
Glaciar Grey,planet_scope,REQ_6795,20221127,qa,composite_udm2_qb-haze_heavy.tif,s3://easido-prod-dc-data-projects/saf/planet_scope/glaciar/20221127/REQ_6795/composite_udm2_qb-haze_heavy.tif
Glaciar Grey,planet_scope,REQ_6795,20221127,qa,composite_udm2_qb-udm1.tif,s3://easido-prod-dc-data-projects/saf/planet_scope/glaciar/20221127/REQ_6795/composite_udm2_qb-udm1.tif
Glaciar Grey,planet_scope,REQ_6795,20221127,qa,composite_udm2_qb-cloud.tif,s3://easido-prod-dc-data-projects/saf/planet_scope/glaciar/20221127/REQ_6795/composite_udm2_qb-cloud.tif
Glaciar Grey,planet_scope,REQ_6795,20221127,qa,composite_udm2_qb-snow.tif,s3://easido-prod-dc-data-projects/saf/planet_scope/glaciar/20221127/REQ_6795/composite_udm2_qb-snow.tif
Glaciar Grey,planet_scope,REQ_6795,20221127,qa,composite_udm2_qb-clear.tif,s3://easido-prod-dc-data-projects/saf/planet_scope/glaciar/20221127/REQ_6795/composite_udm2_qb-clear.tif
Glaciar Grey,planet_scope,REQ_6795,20221127,qa,composite_udm2_qb-haze_light.tif,s3://easido-prod-dc-data-projects/saf/planet_scope/glaciar/20221127/REQ_6795/composite_udm2_qb-haze_light.tif
Glaciar Grey,planet_scope,REQ_6795,20221127,mss,composite_green1.tif,s3://easido-prod-dc-data-projects/saf/planet_scope/glaciar/20221127/REQ_6795/composite_green1.tif
Glaciar Grey,planet_scope,REQ_6795,20221127,mss,composite_redegde.tif,s3://easido-prod-dc-data-projects/saf/planet_scope/glaciar/20221127/REQ_6795/composite_redegde.tif
Glaciar Grey,planet_scope,REQ_6795,20221127,mss,composite_blue.tif,s3://easido-prod-dc-data-projects/saf/planet_scope/glaciar/20221127/REQ_6795/composite_blue.tif
Glaciar Grey,planet_scope,REQ_6795,20221127,mss,composite_yellow.tif,s3://easido-prod-dc-data-projects/saf/planet_scope/glaciar/20221127/REQ_6795/composite_yellow.tif
Glaciar Grey,planet_scope,REQ_6794,20231230,qa,composite_udm2_qb-shadow.tif,s3://easido-prod-dc-data-projects/saf/planet_scope/glaciar/20231230/REQ_6794/composite_udm2_qb-shadow.tif
Glaciar Grey,planet_scope,REQ_6794,20231230,qa,composite_udm2_qb-confidence.tif,s3://easido-prod-dc-data-projects/saf/planet_scope/glaciar/20231230/REQ_6794/composite_udm2_qb-confidence.tif
Glaciar Grey,planet_scope,REQ_6794,20231230,mss,composite_green.tif,s3://easido-prod-dc-data-projects/saf/planet_scope/glaciar/20231230/REQ_6794/composite_green.tif
